RecordType;Schema;Name;Type;Complexity;Coupling;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;PAC_DYNAMIC_QUERY_COMBOBOX;PACKAGE;Simple;Tightly;25273298;12827;1;3;7,79606E-05;0,75
1;TKMTS;PAC_DYNAMIC_QUERY_GROUPING;PACKAGE;Simple;Medium;25273301;8104;2;2;0,000123396;0,5
1;TKMTS;PAC_ESB_NOTIFY;PACKAGE;Simple;Loosely;5606979;3646;33;3;0,000274273;0,083333333
1;TKMTS;PAC_FLOW_BOOKING;PACKAGE;Complex;Tightly;5606981;278;1;3;0,003597122;0,75
1;TKMTS;PAC_FLOW_CLIENTVISIBILITY;PACKAGE;Simple;Medium;5606983;352;5;5;0,002840909;0,5
1;TKMTS;PAC_FLOW_EXCHANGERATE;PACKAGE;Complex;Tightly;5606985;188;1;5;0,005319149;0,833333333
1;TKMTS;PAC_FLOW_GROUPSTOCK;PACKAGE;Complex;Medium;5606987;352;3;4;0,002840909;0,571428571
1;TKMTS;PAC_FLOW_SALESTERM;PACKAGE;Simple;Tightly;5606989;220;1;4;0,004545455;0,8
1;TKMTS;PAC_FLOW_STOCK;PACKAGE;Complex;Tightly;5606991;218;1;5;0,004587156;0,833333333
1;TKMTS;PAC_FLOW_STOPSALE;PACKAGE;Complex;Tightly;5606993;192;1;4;0,005208333;0,8
1;TKMTS;PAC_FLOW_CONTRACT;PACKAGE;Simple;Tightly;5606995;2663;2;18;0,000375516;0,9
1;TKMTS;PAC_NBC;PACKAGE;Simple;Loosely;5315297;1546;14;7;0,000646831;0,333333333
1;TKMTS;PAC_DYNAMIC_QUERY_ENTITY;PACKAGE;Simple;Medium;19130785;9977;4;4;0,000100231;0,5
