Target;Source;Rel
3011189;3011218;REF
3011189;3011216;REF
3011189;19130725;REF
3011189;16273424;REF
3011189;30292829;REF
3011189;3011210;REF
3011189;5606987;REF
3011189;3441331;REF
3011189;19587932;REF
3011189;28131842;REF
3011189;19587930;REF
3011189;28591882;REF
3011189;28589012;REF
3011189;3011209;REF
3011189;3011199;REF
3011189;28829564;REF
3011189;5606985;REF
3011189;5606989;REF
3011189;5606991;REF
3011189;20440994;REF
3011189;28786754;REF
3011189;19587930;REF
3011189;19587934;REF
3011189;10035582;REF
3011189;16273232;REF
3011189;3011208;REF
3011189;3011201;REF
3011189;28844752;REF
3011189;3011416;REF
3011189;3011384;REF
3011189;30254027;REF
3011189;30497933;REF
3011189;31054266;REF
3011189;28911937;REF
3011189;31018455;REF
3011189;3011210;REF
3011189;3011198;REF
3011189;5315297;REF
3011189;24040052;REF
3011189;16273424;REF
3011189;14178386;REF
3011189;28554580;REF
3011189;28131842;REF
3011189;8605742;REF
3011189;10035582;REF
3011189;3011206;REF
3011189;20440987;REF
3011189;4968339;REF
3011189;28890938;REF
3011189;29045126;REF
3011189;29308346;REF
3011189;29350954;REF
3011189;30621714;REF
3011189;31018455;REF
3011190;3011190;REF
3011194;3011206;REF
3011194;14178385;REF
3011194;19587932;REF
3011194;4219040;REF
3011194;4219041;REF
3011194;3011213;REF
3011194;3011196;REF
3011194;4498818;REF
3011194;30522878;REF
3011194;30161474;REF
3011194;30783442;REF
3011194;3011195;REF
3011194;3011194;REF
3011194;28892613;REF
3011194;29350849;REF
3011194;3011201;REF
3011194;30292829;REF
3011194;28591882;REF
3011194;3011209;REF
3011194;3011199;REF
3011194;30497933;REF
3011194;3011198;REF
3011195;3011195;REF
3011196;3011196;REF
3011197;3011197;REF
3011197;3011196;REF
3011197;29308344;REF
3011197;29308251;REF
3011197;30783442;REF
3011197;31135508;REF
3011197;30487133;REF
3011197;24040052;REF
3011197;16273232;REF
3011197;3011207;REF
3011197;30292829;REF
3011197;3011199;REF
3011197;3011198;REF
3011198;3011198;REF
3011199;29241464;REF
3011199;3011213;REF
3011199;30677039;REF
3011199;14178389;REF
3011199;30161474;REF
3011199;3011212;REF
3011199;24040052;REF
3011199;30663518;REF
3011199;28591882;REF
3011199;3011199;REF
3011201;3011201;REF
3011202;3011202;REF
3011203;3011203;REF
3011203;28826675;REF
3011204;3011204;REF
3011204;2999646;REF
3011205;3011205;REF
3011205;3011212;REF
3011205;3011211;REF
3011206;3011206;REF
3011207;3011207;REF
3011208;3011208;REF
3011208;28594262;REF
3011209;30879747;REF
3011209;6906872;REF
3011209;28826674;REF
3011209;30622563;REF
3011209;28585812;REF
3011209;30990503;REF
3011209;19130727;REF
3011209;3011209;REF
3011209;5606985;REF
3011209;30621714;REF
3011209;30404834;REF
3011210;3011210;REF
3011211;3011211;REF
3011212;3011217;REF
3011212;28786754;REF
3011212;28554580;REF
3011212;30788136;REF
3011212;3011213;REF
3011212;3011203;REF
3011212;22017278;REF
3011212;28826675;REF
3011212;14178389;REF
3011212;30161474;REF
3011212;3011212;REF
3011212;3011211;REF
3011212;14178386;REF
3011212;28131844;REF
3011212;28591882;REF
3011212;28911937;REF
3011213;3011213;REF
3011213;14178386;REF
3011213;28911937;REF
3011214;30879747;REF
3011214;30315534;REF
3011214;2999688;REF
3011214;3011197;REF
3011214;3011412;REF
3011214;3011418;REF
3011214;3011218;REF
3011214;3011217;REF
3011214;3011206;REF
3011214;5606981;REF
3011214;5606983;REF
3011214;5606995;REF
3011214;14178385;REF
3011214;4968339;REF
3011214;28786754;REF
3011214;6906872;REF
3011214;29241464;REF
3011214;2999196;REF
3011214;28826674;REF
3011214;11797362;REF
3011214;11797374;REF
3011214;28844752;REF
3011214;11797107;REF
3011214;28554580;REF
3011214;3441331;REF
3011214;28839092;REF
3011214;11797260;REF
3011214;19587932;REF
3011214;17042534;REF
3011214;19130725;REF
3011214;28881083;REF
3011214;30317303;REF
3011214;30027959;REF
3011214;30253898;REF
3011214;30316462;REF
3011214;30621713;REF
3011214;30622563;REF
3011214;31002615;REF
3011214;2999283;REF
3011214;2999299;REF
3011214;2999656;REF
3011214;3011216;REF
3011214;3011213;REF
3011214;3011203;REF
3011214;3011197;REF
3011214;3011196;REF
3011214;21731566;REF
3011214;5606993;REF
3011214;22017278;REF
3011214;29308344;REF
3011214;30522878;REF
3011214;30622561;REF
3011214;30638586;REF
3011214;30677039;REF
3011214;2999239;REF
3011214;2999292;REF
3011214;2999592;REF
3011214;28826675;REF
3011214;3011209;REF
3011214;3011208;REF
3011214;19130785;REF
3011214;24040000;REF
3011214;14178389;REF
3011214;20440987;REF
3011214;28585812;REF
3011214;29308344;REF
3011214;29045126;REF
3011214;29350954;REF
3011214;29308251;REF
3011214;30161474;REF
3011214;30783442;REF
3011214;30938424;REF
3011214;31135508;REF
3011214;31135508;REF
3011214;30487133;REF
3011214;2999238;REF
3011214;2999597;REF
3011214;3011203;REF
3011214;3011419;REF
3011214;3011215;REF
3011214;3011212;REF
3011214;3011211;REF
3011214;3011195;REF
3011214;3011194;REF
3011214;5606987;REF
3011214;5606995;REF
3011214;24040052;REF
3011214;24040052;REF
3011214;14178386;REF
3011214;26182450;REF
3011214;20440994;REF
3011214;22622095;REF
3011214;28131844;REF
3011214;16273232;REF
3011214;29308346;REF
3011214;28892613;REF
3011214;28837473;REF
3011214;29350849;REF
3011214;30663518;REF
3011214;30990503;REF
3011214;2999204;REF
3011214;2999249;REF
3011214;2999261;REF
3011214;2999661;REF
3011214;2999662;REF
3011214;3011195;REF
3011214;3011377;REF
3011214;3011207;REF
3011214;3011201;REF
3011214;5606979;REF
3011214;11797110;REF
3011214;28839085;REF
3011214;17042535;REF
3011214;16273422;REF
3011214;16273424;REF
3011214;19130727;REF
3011214;30292829;REF
3011214;29988071;REF
3011214;28591882;REF
3011214;28589012;REF
3011214;3011382;REF
3011214;3011209;REF
3011214;3011199;REF
3011214;5606985;REF
3011214;5606989;REF
3011214;5606991;REF
3011214;11797370;REF
3011214;19587930;REF
3011214;19587934;REF
3011214;10035582;REF
3011214;30254027;REF
3011214;29262180;REF
3011214;30497933;REF
3011214;31054266;REF
3011214;31054266;REF
3011214;28911937;REF
3011214;31251924;REF
3011214;31333359;REF
3011214;31333362;REF
3011214;3011210;REF
3011214;3011198;REF
3011214;5315297;REF
3011214;22622154;REF
3011214;20440989;REF
3011214;19587928;REF
3011214;28131842;REF
3011214;28986701;REF
3011214;30621714;REF
3011214;31018455;REF
3011214;30404834;REF
3011215;4498807;REF
3011215;16273426;REF
3011215;10035586;REF
3011215;10035588;REF
3011215;6906747;REF
3011215;2998923;REF
3011215;2999049;REF
3011215;10035587;REF
3011215;10035589;REF
3011215;3011215;REF
3011215;6906748;REF
3011215;2999647;REF
3011215;11797364;REF
3011215;10035584;REF
3011215;31333361;REF
3011216;29241464;REF
3011216;28554580;REF
3011216;3011216;REF
3011216;30677039;REF
3011216;14952900;REF
3011216;3011215;REF
3011216;3011212;REF
3011216;5606995;REF
3011216;30663518;REF
3011216;28986701;REF
3011217;3011217;REF
3011218;3011218;REF
3011374;3011183;REF
3011376;2998915;REF
3011377;3011412;REF
3011377;3011382;REF
3011383;3011206;REF
3011383;14178385;REF
3011383;3011213;REF
3011383;30638586;REF
3011383;30161474;REF
3011383;3011195;REF
3011383;14178386;REF
3011383;20440994;REF
3011383;28591882;REF
3011383;3011209;REF
3011383;28911937;REF
3011383;3011198;REF
3011384;19587932;REF
3011384;3011213;REF
3011384;3011196;REF
3011384;30161474;REF
3011384;3011195;REF
3011384;28591882;REF
3011384;3011209;REF
3011385;14178385;REF
3011385;19587932;REF
3011385;3011197;REF
3011386;2999082;REF
3011386;8674010;REF
3011386;3011197;REF
3011386;28593112;REF
3011386;30097148;REF
3011386;30783442;REF
3011386;3011388;REF
3011386;3011400;REF
3011386;3011401;REF
3011386;30292829;REF
3011386;3011199;REF
3011387;30783442;REF
3011387;30292829;REF
3011387;3011199;REF
3011389;8674010;REF
3011389;3011197;REF
3011389;28593112;REF
3011389;30097148;REF
3011389;30783442;REF
3011389;28892613;REF
3011389;30292829;REF
3011389;3011199;REF
3011390;3011217;REF
3011390;3011206;REF
3011390;3441331;REF
3011390;19587932;REF
3011390;3011213;REF
3011390;3011197;REF
3011390;3011196;REF
3011390;30522878;REF
3011390;30161474;REF
3011390;3011195;REF
3011390;3011194;REF
3011390;14178386;REF
3011390;29350849;REF
3011390;3011201;REF
3011390;28591882;REF
3011390;19587930;REF
3011390;19587934;REF
3011390;30497933;REF
3011390;28911937;REF
3011390;3011198;REF
3011391;3011218;REF
3011391;14178385;REF
3011391;8674010;REF
3011391;28826368;REF
3011391;28890938;REF
3011391;3011197;REF
3011391;3011196;REF
3011391;29308344;REF
3011391;30783442;REF
3011391;31135508;REF
3011391;3011194;REF
3011391;5606995;REF
3011391;14178386;REF
3011391;28892613;REF
3011391;28473662;REF
3011391;8514219;REF
3011391;30292829;REF
3011391;3011199;REF
3011391;19587934;REF
3011391;28911937;REF
3011391;3011198;REF
3011391;28824835;REF
3011392;11377497;REF
3011394;14178385;REF
3011394;29241464;REF
3011394;3011197;REF
3011394;3011196;REF
3011394;30677039;REF
3011394;30783442;REF
3011394;24040052;REF
3011394;30663518;REF
3011394;30292829;REF
3011394;3011209;REF
3011394;3011199;REF
3011395;3011206;REF
3011395;19587932;REF
3011395;3011213;REF
3011395;3011196;REF
3011395;30161474;REF
3011395;3011201;REF
3011395;28591882;REF
3011395;3011209;REF
3011397;8514219;REF
3011397;3011198;REF
3011398;3011198;REF
3011401;8674010;REF
3011401;3011197;REF
3011401;28593112;REF
3011401;30097148;REF
3011402;3011206;REF
3011402;14178385;REF
3011402;31042640;REF
3011402;19587932;REF
3011402;30788136;REF
3011402;3011213;REF
3011402;30638586;REF
3011402;30161474;REF
3011402;3011212;REF
3011402;3011194;REF
3011402;5606995;REF
3011402;14178386;REF
3011402;20440994;REF
3011402;28892613;REF
3011402;3011201;REF
3011402;28591882;REF
3011402;3011209;REF
3011402;28911937;REF
3011402;3011210;REF
3011402;3011198;REF
3011402;28986701;REF
3011403;3011206;REF
3011403;29241464;REF
3011403;8674010;REF
3011403;28826368;REF
3011403;3011197;REF
3011403;3011196;REF
3011403;29308344;REF
3011403;30677039;REF
3011403;30711495;REF
3011403;30783442;REF
3011403;31135508;REF
3011403;30487133;REF
3011403;3011195;REF
3011403;24040052;REF
3011403;30663518;REF
3011403;3011207;REF
3011403;30292829;REF
3011403;3011209;REF
3011403;3011199;REF
3011403;3011198;REF
3011403;28824835;REF
3011404;29241464;REF
3011404;28890938;REF
3011404;3011197;REF
3011404;30677039;REF
3011404;30783442;REF
3011404;24040052;REF
3011404;30663518;REF
3011404;30292829;REF
3011404;3011209;REF
3011404;3011199;REF
3011405;14178385;REF
3011405;29241464;REF
3011405;28890938;REF
3011405;3011197;REF
3011405;29308344;REF
3011405;30677039;REF
3011405;30783442;REF
3011405;31135508;REF
3011405;3011195;REF
3011405;24040052;REF
3011405;30663518;REF
3011405;8514219;REF
3011405;30292829;REF
3011405;3011209;REF
3011405;3011199;REF
3011405;3011198;REF
3011406;14178385;REF
3011406;3011197;REF
3011406;3011196;REF
3011406;30783442;REF
3011406;3011195;REF
3011406;24040052;REF
3011406;30292829;REF
3011406;3011209;REF
3011406;3011199;REF
3011407;3011213;REF
3011407;30638586;REF
3011407;30161474;REF
3011407;20440994;REF
3011407;28591882;REF
3011409;3011206;REF
3011409;14178385;REF
3011409;3011213;REF
3011409;30638586;REF
3011409;30161474;REF
3011409;20440994;REF
3011409;28591882;REF
3011409;3011209;REF
3011410;3011206;REF
3011410;19587932;REF
3011410;3011213;REF
3011410;30638586;REF
3011410;30161474;REF
3011410;20440994;REF
3011410;28591882;REF
3011410;3011209;REF
3011410;3011198;REF
3011411;29241464;REF
3011411;3011197;REF
3011411;29308344;REF
3011411;30677039;REF
3011411;30783442;REF
3011411;31135508;REF
3011411;3011419;REF
3011411;24040052;REF
3011411;30663518;REF
3011411;30292829;REF
3011411;3011209;REF
3011411;3011199;REF
3011411;3011198;REF
3011413;2998885;REF
3011413;2998879;REF
3011413;2998891;REF
3011414;3011218;REF
3011414;28826368;REF
3011414;3011183;REF
3011414;24040052;REF
3011414;28824835;REF
3011415;14178385;REF
3011415;29241464;REF
3011415;3011197;REF
3011415;25273315;REF
3011415;30677039;REF
3011415;30711495;REF
3011415;30783442;REF
3011415;30663518;REF
3011415;30292829;REF
3011415;3011199;REF
3011415;28305103;REF
3011416;29241464;REF
3011416;3011213;REF
3011416;30638586;REF
3011416;30161474;REF
3011416;20440994;REF
3011416;28591882;REF
3011417;2999688;REF
3011417;3011418;REF
3011417;30317303;REF
3011417;30027959;REF
3011417;30316462;REF
3011417;2999283;REF
3011417;2999299;REF
3011417;2999656;REF
3011417;2999239;REF
3011417;2999592;REF
3011417;2999238;REF
3011417;2999597;REF
3011417;2999204;REF
3011417;2999249;REF
3011417;2999261;REF
3011417;2999661;REF
3011417;2999662;REF
3011418;2999688;REF
3011418;30317303;REF
3011418;30027959;REF
3011418;30316462;REF
3011418;2999283;REF
3011418;2999299;REF
3011418;2999656;REF
3011418;2999239;REF
3011418;2999592;REF
3011418;2999238;REF
3011418;2999597;REF
3011418;2999204;REF
3011418;2999249;REF
3011418;2999261;REF
3011418;2999661;REF
3011418;2999662;REF
3011421;30783442;REF
3011421;30834647;REF
3011421;30292829;REF
3011421;3011199;REF
3011421;30502705;REF
3011422;3011213;REF
3011422;30161474;REF
3011422;28591882;REF
3011595;30225298;REF
3011595;3011183;REF
3011602;14178318;REF
3011602;14178319;REF
3011604;3011218;REF
3011604;3011202;REF
3011604;28786754;REF
3011604;28835113;REF
3011604;31042640;REF
3011604;28554580;REF
3011604;3441331;REF
3011604;28839092;REF
3011604;28850079;REF
3011604;30253898;REF
3011604;31002615;REF
3011604;31231875;REF
3011604;2998915;REF
3011604;3011216;REF
3011604;3011208;REF
3011604;21731567;REF
3011604;30834647;REF
3011604;3011212;REF
3011604;5606995;REF
3011604;26182450;REF
3011604;11797259;REF
3011604;22622095;REF
3011604;4283417;REF
3011604;28837473;REF
3011604;3204305;REF
3011604;3011218;REF
3011604;8514219;REF
3011604;29114718;REF
3011604;3011209;REF
3011604;28829564;REF
3011604;5315297;REF
3011604;30502705;REF
3011808;3011412;REF
3011808;28844756;REF
3011808;3011213;REF
3011808;22017278;REF
3011808;30161474;REF
3011808;3011215;REF
3011808;3011194;REF
3011808;28131844;REF
3011808;3011377;REF
3011808;28591882;REF
3011808;3011382;REF
3011811;3011216;REF
3011811;28593107;REF
3011811;28593107;REF
3012133;3011218;REF
28829564;28829564;REF
28911937;28911937;REF
25273298;25273298;REF
25273301;30852647;REF
25273301;25273301;REF
25273314;28602725;REF
5606979;5606983;REF
5606979;17042537;REF
5606979;17042538;REF
5606979;31042640;REF
5606979;17042541;REF
5606979;17042552;REF
5606979;5606993;REF
5606979;17042542;REF
5606979;17042546;REF
5606979;17042547;REF
5606979;17042544;REF
5606979;17042549;REF
5606979;9184706;REF
5606979;5606987;REF
5606979;5606995;REF
5606979;17042540;REF
5606979;29308346;REF
5606979;14156431;REF
5606979;5606979;REF
5606979;28839085;REF
5606979;17042536;REF
5606979;17042548;REF
5606979;17042550;REF
5606979;31102329;REF
5606979;5606985;REF
5606979;5606989;REF
5606979;5606991;REF
5606979;17042543;REF
5606979;17042553;REF
5606979;10035582;REF
5606979;31054266;REF
5606979;17042545;REF
5606979;17042551;REF
5606981;5606981;REF
5606983;5606983;REF
5606983;5606995;REF
5606983;14156431;REF
5606983;31054266;REF
5606983;3011210;REF
5606985;5606985;REF
5606987;5606987;REF
5606987;5606995;REF
5606987;31054266;REF
5606989;5606989;REF
5606991;5606991;REF
5606993;5606993;REF
5606995;5606995;REF
5606995;5315297;REF
4498820;3011197;REF
4498820;30783442;REF
4498820;24040052;REF
4498820;30292829;REF
4498820;3011199;REF
5049544;3011218;REF
5049544;5315297;REF
5049545;6906872;REF
5049545;28835113;REF
5049545;28554580;REF
5049545;28839092;REF
5049545;29308344;REF
5049545;28585812;REF
5049545;31135508;REF
5049545;26182450;REF
5049545;28837473;REF
5049545;8514219;REF
5315297;5606983;REF
5315297;29241464;REF
5315297;17042542;REF
5315297;30677039;REF
5315297;21731567;REF
5315297;19587923;REF
5315297;5606995;REF
5315297;17042540;REF
5315297;30663518;REF
5315297;19587922;REF
5315297;31054266;REF
5315297;5315297;REF
5315297;23024158;REF
5315297;17042545;REF
19130785;30522878;REF
19130785;19130785;REF
19130785;29350849;REF
19130785;30497933;REF
4889308;3011216;REF
24040000;24040000;REF
24040052;24040052;REF
11797362;29241464;REF
11797362;31042640;REF
11797362;11797362;REF
11797362;22017278;REF
11797362;30677039;REF
11797362;30834647;REF
11797362;3011215;REF
11797362;30663518;REF
11797362;5315297;REF
11797362;8605742;REF
11797362;30502705;REF
28586388;28586388;REF
16809441;16809441;REF
20964639;29045126;REF
20964639;30487133;REF
20964639;28892613;REF
20964639;3011207;REF
20964639;20964639;REF
28844736;28844752;REF
14178385;14178385;REF
14178385;19587932;REF
14178385;3011213;REF
14178385;3011203;REF
14178385;30638586;REF
14178385;28826675;REF
14178385;30161474;REF
14178385;3011195;REF
14178385;14178386;REF
14178385;20440994;REF
14178385;28131844;REF
14178385;28591882;REF
14178385;19587934;REF
14178385;28911937;REF
14178386;14178386;REF
14178389;30118500;REF
14178389;14178389;REF
14178389;5606995;REF
14178389;30878600;REF
14178389;31054266;REF
28554580;28554580;REF
3441331;3441331;REF
28786754;28786754;REF
28786754;28554580;REF
28786754;22017278;REF
28786754;29045126;REF
28786754;30783442;REF
28786754;28131844;REF
28786754;3011199;REF
28786754;3011210;REF
28591882;28591882;REF
28591882;28911937;REF
8514212;8514219;REF
8514219;31134644;REF
8514219;8514219;REF
22017277;22017278;REF
26182450;26182452;REF
26182450;26182450;REF
28839092;28839092;REF
20440987;3011216;REF
20440987;20440987;REF
20440987;5606995;REF
20440987;31333362;REF
20440987;20440989;REF
20440994;3011213;REF
20440994;30161474;REF
20440994;20440994;REF
20440994;28591882;REF
28586175;28586175;REF
11797261;11797371;REF
23398378;23398378;REF
6906872;6906872;REF
6906872;28826674;REF
6906872;30788136;REF
6906872;30522878;REF
6906872;28892613;REF
6906872;29350849;REF
6906872;30497933;REF
19587926;19587926;REF
19587928;24040000;REF
19587928;20440987;REF
19587928;29045126;REF
19587928;19587930;REF
19587928;19587928;REF
19587930;19587930;REF
19587932;19587932;REF
19587932;3011213;REF
19587932;30161474;REF
19587932;28591882;REF
19587932;19587934;REF
19587934;19587934;REF
28593108;28602719;REF
28593112;30097148;REF
28593122;30627771;REF
28593123;28602742;REF
28582614;28582614;REF
28305103;28305103;REF
16273424;3011218;REF
16273424;6906872;REF
16273424;30538847;REF
16273424;30548946;REF
16273424;5606995;REF
16273424;16273424;REF
28131842;28131844;REF
28131842;28131842;REF
28131844;30118500;REF
28131844;28131844;REF
19130725;30879747;REF
19130725;30852647;REF
19130725;19130725;REF
19130725;23398378;REF
19130725;28582614;REF
19130725;30522878;REF
19130725;19130785;REF
19130725;28586388;REF
19130725;28586175;REF
19130725;25706637;REF
19130725;29350942;REF
19130725;30375987;REF
19130725;29350849;REF
19130725;30990503;REF
19130725;25273301;REF
19130725;19587926;REF
19130725;19130727;REF
19130725;28939156;REF
19130725;29123176;REF
19130725;30655487;REF
19130725;30957932;REF
19130725;31042642;REF
19130725;30497933;REF
19130725;31251924;REF
19130725;25273298;REF
19130725;29199443;REF
19130725;30404834;REF
19130725;31194358;REF
19130727;19130727;REF
30292829;30292829;REF
10035582;5606995;REF
10035582;10035582;REF
10035582;31054266;REF
28585812;28585812;REF
16273232;3011206;REF
16273232;19587932;REF
16273232;16273232;REF
16273232;3011201;REF
25706637;25706637;REF
4276611;4283417;REF
8605742;8605742;REF
29199443;29199443;REF
29308344;30253898;REF
29308344;29308344;REF
29308344;30783442;REF
29308344;30487133;REF
29308344;3011207;REF
29308344;30292829;REF
29308344;3011199;REF
29308346;5606995;REF
29308346;29308346;REF
29308346;31054266;REF
28939155;28939156;REF
28892613;28892613;REF
30327933;30879747;REF
28890938;28890938;REF
28837473;28837473;REF
28824835;28826368;REF
28850078;28850079;REF
28835113;28835113;REF
28905212;28905390;REF
28905212;28905213;REF
28905212;28905214;REF
29045125;28786754;REF
29045125;30788136;REF
29045125;29045126;REF
29045125;5606995;REF
29045125;31054266;REF
29045125;3011210;REF
29350849;30824042;REF
29350849;3011197;REF
29350849;30254019;REF
29350849;30508988;REF
29350849;30522878;REF
29350849;19130785;REF
29350849;28892613;REF
29350849;29350849;REF
29350849;5606991;REF
29350849;29262180;REF
29350849;30497933;REF
29350849;31251924;REF
29350849;25273298;REF
29350849;30254020;REF
29350942;29350942;REF
29350954;29350954;REF
29350954;28131844;REF
30451718;30451718;REF
29123175;29123176;REF
30375981;30375987;REF
30404834;30404834;REF
29252394;30522878;REF
29252394;29350849;REF
29252394;30497933;REF
29241463;29241464;REF
29241463;30783442;REF
29241463;30487133;REF
29241463;3011207;REF
29241463;30292829;REF
29241463;3011199;REF
30254027;30254027;REF
29308282;3011197;REF
29308282;29308344;REF
29308282;31135508;REF
29308282;30487133;REF
29308282;3011207;REF
29308251;30118500;REF
29308251;29308251;REF
29308251;30878600;REF
30161474;30161474;REF
30069047;30069048;REF
30487133;30487133;REF
30497933;30497933;REF
30502705;30502705;REF
30522878;30522878;REF
30548946;30548946;REF
30553593;3011194;REF
30621712;30621713;REF
30621712;30621714;REF
30621714;30621714;REF
30622561;30622563;REF
30622561;30622561;REF
30622563;30622563;REF
30638586;30638586;REF
30655487;30655487;REF
30663524;30663518;REF
30677039;30677039;REF
30783442;30783442;REF
30788136;30788136;REF
30852646;30852647;REF
30834647;30834647;REF
30957931;30957932;REF
31018455;28554580;REF
31042640;31042640;REF
31042640;31102329;REF
31042642;31042642;REF
30990503;30990503;REF
31002615;31002615;REF
31054266;31054266;REF
31135508;31135508;REF
31186922;3011194;REF
31194358;31194358;REF
31251924;31251924;REF
31276707;31276707;REF
31276707;31289032;REF
31276707;8514219;REF
